LJo3t1DkhiqFAM7mE-ZdSg,43657
Wohv6uU42OLrOe_lPqGZjA,37912
p6AklbHZsHhXEosgYjdCpQ,34902
wZux2ASCJj4D8dv555eK7w,31845
TxBg_xnaBytd3jLHvHRfpA,31630
9LACIcmqNvsOvCqNvcBYqQ,29422
MuaMfshHI4rSf0oZqkuU8A,29211
SVOtl6HV-lk1YY0Rytzmww,29091
XWuekmaCwifqcxTIGwpWSQ,29051
UoA4QugDPSiTaLaE32cGSw,27809
yxK5B96sM5FLd0cgaK6dPA,27513
bq9-_WTZxqEsgmedEPoUfA,27091
Zaah0eFCojEexrqj9io8hw,27089
t2q2KuuS7dpVoelQR3wszg,26640
iGKWj5e5K52ba9GIclMejw,26365
8bNRBTw-0rqWhG3OirazEg,26265
3rGba2zAiTKb5cl-brXmlg,25493
WlLRzxj5uOANkoUzNRj6UA,25160
WAfefIHz7ZGX4Cgvq2PTAg,25107
g_Ua-5YOeci1j3JtQ8VgXw,25033
11R9ljFKsZSVi2qyAowwFg,24915
AQpL-dD33954WmPvd0FXqQ,24394
3MnZEl2ZKYM-Xs6Wc_cCjA,24350
kdczvn8vKA7V-zF8yo7tzw,24054
T7tEN02_Ss95z9fr9nQ_rQ,23884
EhoMj9b8t-fRP5LdaZULjQ,23821
zW-wArnHi9EFxEbcmHY1gA,23573
bkpme1expouTxSyE4uLggg,23220
Y16ks5Lm5xarXBRAlKD5yw,22966
CuQ3E8z6j3gM9rxW7ca-kA,22678
SM2H9Qu41Tfiu01iK6QlFg,22658
uXb-WL39IbmrTntPA2KYhw,22401
oQ6boOcwiV9NNbp7AuGU4A,22354
TVHhI9hLMilHD-gjuR3ISg,22322
Vu_UiGu-5O_EgMQQzEcvfw,22302
JLwhmhmkYtVUm2VtcLIDsg,22181
udK_vduFvcIkA-5KgkUq6w,21804
ulczuqA5V3u2LlbBap19Ow,21793
GV6VuNpAMdm7X_Lbe75p9g,21598
0cdjxncBwK5gtAzrPd47iw,21579
